"Data generated on Friday, December 23, 2022 at 12:55:41 PM EST"
Area/Partners of Origin,,,,,January - December
And General  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2017,2018,2019,2020,2021,Jan - Oct 2021,Jan - Oct 2022,,
,U.S. Custom Districts,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.31","0702004031","GRHS TM NS 7/","0","0","0","0","19,849","19,849","0","","26","MX","0702004031",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.32","0709302000","EGGPLNT4/1-11/30","15,679","15,167","18,243","22,501","19,333","13,477","17,207","28","26","MX","0709302000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.33","0704200000","BRUSSEL SPT,F,CH","7,818","9,450","11,242","14,957","18,968","17,675","20,258","15","26","MX","0704200000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.34","0709932010","ORG SQUASH","0","4,103","16,375","21,020","18,531","14,668","13,804","-6","26","MX","0709932010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.35","0702006025","GRHS TM ROUND 11","0","0","0","0","18,169","0","34,977","","26","MX","0702006025",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.36","0709999000","OTH VEG-FRS/CHLD","30,173","22,389","25,605","31,053","16,789","16,789","0","","26","MX","0709999000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.37","0709604065","ORG BL PEPPRS NE","16,990","14,781","4,299","8,429","15,794","14,652","11,801","-19","26","MX","0709604065",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.38","0709999090","OTH VEG-FRS/CHLD","0","0","0","0","13,771","5,308","19,547","268","26","MX","0709999090",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.39","0704904040","KOHLRABIE, NESOI","6,149","6,249","9,263","11,846","13,578","10,624","10,448","-2","26","MX","0704904040",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.40","0702002099","TOM, NS 3/1-7/14","11,322","4,703","3,559","3,777","10,522","10,522","0","","26","MX","0702002099",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.41","0705114000","HD LETT11/1-5/31","381","334","6,238","9,309","10,087","7,103","8,205","16","26","MX","0705114000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.42","0709402000","CELERY FR/CH","3,133","2,496","9,076","9,198","9,722","7,614","8,269","9","26","MX","0709402000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.43","0702002015","GRHS TM ROMA 3/","0","0","0","0","9,632","7,833","52,659","572","26","MX","0702002015",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.44","0702006015","GRHS TM ROMA 11/","0","0","0","0","9,589","0","20,404","","26","MX","0702006015",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.45","0707006010","CUC, GRNHS JL/AU","3,091","3,441","6,238","5,638","8,739","8,739","0","","26","MX","0707006010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.46","0702006099","TM NS 11/15-2/28","15,829","12,262","2,775","5,633","7,915","7,915","0","","26","MX","0702006099",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.47","0705112000","HD LET,6/1-10/31","0","0","3,896","5,224","6,468","6,468","10,750","66","26","MX","0705112000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.48","0702004025","GRHS TM ROUND 7/","0","0","0","0","6,350","6,350","0","","26","MX","0702004025",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.49","0706102000","CARROT,>10CM","3,774","5,257","5,477","3,668","5,553","4,642","10,364","123","26","MX","0706102000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.50","0702004015","GRHS TM ROMA 7/","0","0","0","0","5,549","5,549","0","","26","MX","0702004015",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.51","0707006050","CUCUM >15 JL/AU","2,030","1,346","2,195","5,489","5,389","5,389","0","","26","MX","0707006050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.52","0708104000","PEAS,F/C 10/6","7,270","6,535","6,767","5,457","4,395","4,152","4,219","2","26","MX","0708104000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.53","0709406000","CELERY,8/1-4/14","6,696","2,761","11,556","2,450","4,065","2,924","4,497","54","26","MX","0709406000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.54","0702006035","CHRRY TOM 11/15-","3,000","3,487","2,947","2,393","3,808","2,114","2,395","13","26","MX","0702006035",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.55","0702004046","GRP TM 7/15-8/31","119","689","725","832","3,015","3,015","0","","26","MX","0702004046",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.56","0708202005","YARDLONG BEAN FC","3,401","3,697","2,398","3,137","2,952","2,318","1,698","-27","26","MX","0708202005",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.57","0706100500","CARROT,RED SIZE","0","0","955","1,606","2,941","1,664","2,188","32","26","MX","0706100500",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.58","0705290000","CHCRY X WTLF F/C","2,958","3,986","3,271","1,924","2,869","2,466","3,396","38","26","MX","0705290000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.59","0704104000","CLFLWR,10/16-6/4","173","117","861","1,678","2,799","1,949","2,415","24","26","MX","0704104000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.60","0703900000","LEEKS & OT A VEG","3,781","1,672","3,342","2,941","2,648","2,236","0","","26","MX","0703900000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.61","0702002035","CHRRY TOM 3/15-7","1,650","2,347","3,333","2,510","1,749","1,749","1,549","-11","26","MX","0702002035",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.62","0708900500","CHCKPEA,GARB,F/C","1,603","1,465","1,609","1,360","1,511","1,416","871","-39","26","MX","0708900500",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.63","0706902000","RADISHES,FR/CH","5,469","818","2,102","2,132","1,389","1,098","378","-66","26","MX","0706902000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.64","0708904000","LEGUMINOUS VEGET","392","977","1,436","1,485","1,369","976","1,420","46","26","MX","0708904000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.65","0709404000","CELERY,4/15-7/31","720","488","670","632","1,119","965","1,043","8","26","MX","0709404000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.66","0702004065","ROMATM 7/15-8/31","1,929","2,447","2,636","2,480","1,027","1,027","0","","26","MX","0702004065",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.67","0702002091","TM NS 3/","0","0","0","0","988","834","2,817","238","26","MX","0702002091",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.68","0709602010","CHILI PEP GRNHS","0","35","83","366","841","603","706","17","26","MX","0709602010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.69","0703200090","OTHR FRSH GARLIC","287","415","198","519","829","829","806","-3","26","MX","0703200090",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.70","0709933000","GOURDS FR/CH","25","50","694","1,117","743","434","741","71","26","MX","0709933000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.71","0702006091","TM NS 11/","0","0","0","0","716","0","3,791","","26","MX","0702006091",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.72","0703200015","FRSH GARLIC BULB","2,374","521","1,047","1,000","476","476","2,041","329","26","MX","0703200015",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.73","0703200005","GARLIC, ORGANIC","27","0","6","54","362","362","436","20","26","MX","0703200005",
